Crm Cd Desc,count
VEHICLE - STOLEN,115186
BATTERY - SIMPLE ASSAULT,74816
BURGLARY FROM VEHICLE,63259
THEFT OF IDENTITY,62408
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",60956
BURGLARY,57873
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53522
THEFT PLAIN - PETTY ($950 & UNDER),53480
INTIMATE PARTNER - SIMPLE ASSAULT,46712
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),41269
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36810
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35009
ROBBERY,32314
SHOPLIFTING - PETTY THEFT ($950 & UNDER),30743
VANDALISM - MISDEAMEANOR ($399 OR UNDER),25323
CRIMINAL THREATS - NO WEAPON DISPLAYED,19275
TRESPASSING,18418
BRANDISH WEAPON,14529
INTIMATE PARTNER - AGGRAVATED ASSAULT,12653
VIOLATION OF RESTRAINING ORDER,11747
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",8694
BIKE - STOLEN,8180
OTHER MISCELLANEOUS CRIME,6954
VIOLATION OF COURT ORDER,6377
"BUNCO, GRAND THEFT",6185
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),5766
ATTEMPTED ROBBERY,4835
OTHER ASSAULT,4246
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",4177
BATTERY WITH SEXUAL CONTACT,4161
"THEFT, PERSON",4153
"BURGLARY, ATTEMPTED",3951
VEHICLE - ATTEMPT STOLEN,3864
"RAPE, FORCIBLE",3751
PICKPOCKET,3720
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,3558
DOCUMENT FORGERY / STOLEN FELONY,3370
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",2925
DISCHARGE FIREARMS/SHOTS FIRED,2725
CONTEMPT OF COURT,2721
BATTERY POLICE (SIMPLE),2565
ARSON,2564
EXTORTION,2031
"BUNCO, PETTY THEFT",2027
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1763
FAILURE TO YIELD,1714
SHOTS FIRED AT INHABITED DWELLING,1640
CRIMINAL HOMICIDE,1567
DISTURBING THE PEACE,1513
SEXUAL PENETRATION W/FOREIGN OBJECT,1319
CHILD NEGLECT (SEE 300 W.I.C.),1201
INDECENT EXPOSURE,1198
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1078
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1078
CHILD ANNOYING (17YRS & UNDER),1043
RESISTING ARREST,1038
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,966
VIOLATION OF TEMPORARY RESTRAINING ORDER,922
THEFT FROM MOTOR VEHICLE - ATTEMPT,856
KIDNAPPING,812
THROWING OBJECT AT MOVING VEHICLE,791
ORAL COPULATION,726
LEWD CONDUCT,713
"BURGLARY FROM VEHICLE, ATTEMPTED",704
STALKING,666
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,613
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,531
UNAUTHORIZED COMPUTER ACCESS,523
THREATENING PHONE CALLS/LETTERS,483
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,479
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",475
THEFT PLAIN - ATTEMPT,473
BOMB SCARE,471
CHILD STEALING,459
PEEPING TOM,381
FALSE IMPRISONMENT,342
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",337
"BUNCO, ATTEMPT",324
"RAPE, ATTEMPTED",318
RECKLESS DRIVING,284
CHILD PORNOGRAPHY,275
CRUELTY TO ANIMALS,269
BATTERY ON A FIREFIGHTER,257
KIDNAPPING - GRAND ATTEMPT,232
PROWLER,202
DRIVING WITHOUT OWNER CONSENT (DWOC),190
FALSE POLICE REPORT,182
BOAT - STOLEN,150
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",149
PANDERING,141
PIMPING,141
COUNTERFEIT,119
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,118
SHOPLIFTING - ATTEMPT,111
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",111
PURSE SNATCHING,108
THEFT FROM PERSON - ATTEMPT,105
ILLEGAL DUMPING,93
"CREDIT CARDS, FRAUD USE ($950 & UNDER",92
LEWD/LASCIVIOUS ACTS WITH CHILD,87
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",78
DOCUMENT WORTHLESS ($200.01 & OVER),73
CONTRIBUTING,45
DRUNK ROLL,42
WEAPONS POSSESSION/BOMBING,41
DISHONEST EMPLOYEE - GRAND THEFT,36
DOCUMENT WORTHLESS ($200 & UNDER),28
CHILD ABANDONMENT,26
CONSPIRACY,24
TILL TAP - PETTY ($950 & UNDER),24
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",23
DISHONEST EMPLOYEE - PETTY THEFT,23
INCITING A RIOT,22
LYNCHING,22
TILL TAP - GRAND THEFT ($950.01 & OVER),16
PURSE SNATCHING - ATTEMPT,13
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",13
DISRUPT SCHOOL,13
"DRUGS, TO A MINOR",12
GRAND THEFT / INSURANCE FRAUD,12
LYNCHING - ATTEMPTED,11
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",10
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",9
"MANSLAUGHTER, NEGLIGENT",9
PETTY THEFT - AUTO REPAIR,8
BRIBERY,8
TELEPHONE PROPERTY - DAMAGE,7
BIGAMY,7
"PICKPOCKET, ATTEMPT",7
BIKE - ATTEMPTED STOLEN,6
"THEFT, COIN MACHINE - ATTEMPT",6
GRAND THEFT / AUTO REPAIR,6
BLOCKING DOOR INDUCTION CENTER,6
FAILURE TO DISPERSE,6
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),6
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),5
FIREARMS RESTRAINING ORDER (FIREARMS RO),4
DISHONEST EMPLOYEE ATTEMPTED THEFT,4
TRAIN WRECKING,1
DRUNK ROLL - ATTEMPT,1
